Label,x,y,elevation
BL192,-67.27044748,18.36269217,0
BM191,-67.26450462,18.36760687,30
BM192,-67.26490434,18.36019758,56
BM193,-67.26287176,18.35222135,0
BM194,-67.26074649,18.34632409,0
BN190,-67.25191069,18.37403355,10
BN191,-67.25546736,18.36896106,26
BN192,-67.2555621,18.36014208,55
BN193,-67.25551961,18.35110697,0
BN194,-67.25392071,18.34272615,0
BN195,-67.25213563,18.33441349,0
BO190,-67.24529142,18.37493415,0
BO191,-67.24614247,18.36921752,19
BO192,-67.24610047,18.36018242,30
BO193,-67.24605848,18.35114731,54
BO194,-67.24601649,18.34211218,55
BO195,-67.24597451,18.33307705,58
BO196,-67.24503733,18.32445636,31
BO197,-67.24284786,18.3171592,31
BP190,-67.23629822,18.37618862,0
BP191,-67.23668035,18.36925739,23
BP192,-67.23663885,18.36022229,38
BP193,-67.23659734,18.35118717,53
BP194,-67.23655584,18.34215205,62
BP195,-67.23651435,18.33311691,83
BP196,-67.23647285,18.32408176,51
BP197,-67.23639194,18.31508113,0
BP198,-67.23513951,18.30665583,0
BP199,-67.23290902,18.30106978,0
BQ190,-67.22691817,18.37728055,13
BQ191,-67.22721823,18.3692968,23
BQ192,-67.22717721,18.36026169,35
BQ193,-67.2271362,18.35122657,60
BQ194,-67.22709519,18.34219144,81
BQ195,-67.22705418,18.3331563,94
BQ196,-67.22701318,18.32412115,66
BQ197,-67.22697218,18.31508599,66
BQ198,-67.22693118,18.30605082,66
BQ199,-67.22620471,18.30025485,108
BR189,-67.2158219,18.38401032,0
BR190,-67.21779605,18.37837026,12
BR191,-67.21775611,18.36933573,19
BR192,-67.21771558,18.36030063,26
BR193,-67.21767505,18.35126551,43
BR194,-67.21763453,18.34223038,79
BR195,-67.21759401,18.33319523,126
BR196,-67.2175535,18.32416008,134
BR197,-67.21751299,18.31512492,117
BR198,-67.21747248,18.30608974,117
BR199,-67.21701304,18.29967929,127
BR232,-67.21192509,17.99491454,0
BR233,-67.2127571,17.98907664,29
BR234,-67.21266384,17.98165079,29
BR235,-67.21220923,17.97131712,0
BR236,-67.21263774,17.96344495,0
BS189,-67.2078233,18.38610258,7
BS190,-67.20833403,18.3784093,12
BS191,-67.20829398,18.3693742,17
BS192,-67.20825394,18.36033909,43
BS193,-67.2082139,18.35130397,73
BS194,-67.20817387,18.34226884,100
BS195,-67.20813384,18.3332337,171
BS196,-67.20809381,18.32419854,204
BS197,-67.20805379,18.31516338,172
BS198,-67.20801377,18.3061282,172
BS199,-67.20761662,18.29881704,127
BS222,-67.2023423,18.08486009,0
BS223,-67.20266443,18.08259881,0
BS227,-67.20428272,18.04197601,0
BS232,-67.20586998,17.99754246,57
BS233,-67.20661577,17.98989207,33
BS234,-67.2065759,17.98085666,14
BS235,-67.20653604,17.97182125,2
BS236,-67.20649618,17.96278583,3
BS237,-67.20632568,17.95692972,3
BT188,-67.19691526,18.39291349,0
BT189,-67.1988869,18.38745854,10
BT190,-67.1988714,18.3784473,13
BT191,-67.19883185,18.36941221,20
BT192,-67.19879229,18.3603771,55
BT193,-67.19875275,18.35134197,101
BT194,-67.1987132,18.34230684,134
BT195,-67.19867366,18.33327169,234
BT196,-67.19863412,18.32423654,263
BT197,-67.19859459,18.31520137,212
BT198,-67.19855506,18.30616619,212
BT199,-67.1982002,18.29761258,100
BT200,-67.1946666,18.29149509,97
BT221,-67.19480974,18.0962168,0
BT222,-67.1968521,18.08901657,11
BT223,-67.19749598,18.08067365,14
BT224,-67.19663061,18.07451122,14
BT224,-67.19598426,18.06730922,0
BT225,-67.1966185,18.06168218,20
BT226,-67.19650032,18.05351704,21
BT227,-67.19730236,18.04403561,20
BT228,-67.1970658,18.03703814,20
BT231,-67.19513947,18.00425249,0
BT232,-67.19719254,17.99894496,52
BT233,-67.19717413,17.98992999,25
BT234,-67.19713475,17.98089458,11
BT235,-67.19709537,17.97185917,7
BT236,-67.197056,17.96282375,7
BT237,-67.1960867,17.95523319,1
BT238,-67.1928717,17.94478951,0
BT239,-67.19441637,17.93769472,0
BU187,-67.18677393,18.40220494,0
BU188,-67.18885947,18.39609225,7
BU189,-67.18944785,18.38751993,15
BU190,-67.18940878,18.37848484,24
BU191,-67.18936971,18.36944974,33
BU192,-67.18933065,18.36041463,73
BU193,-67.18929159,18.35137951,73
BU194,-67.18925253,18.34234437,114
BU195,-67.18921348,18.33330922,176
BU196,-67.18917443,18.32427406,246
BU197,-67.18913539,18.31523889,276
BU198,-67.18909635,18.30620371,276
BU199,-67.18905731,18.29716852,231
BU200,-67.18856328,18.28845336,13
BU201,-67.18688417,18.27935265,5
BU202,-67.1862197,18.27052845,2
BU203,-67.18481912,18.26464631,0
BU213,-67.18453174,18.16733269,0
BU214,-67.18433195,18.1654245,0
BU217,-67.18510999,18.13565999,0
BU218,-67.18410011,18.12276575,0
BU219,-67.18629902,18.11639062,0
BU220,-67.18514579,18.10741944,0
BU221,-67.18796667,18.09815656,0
BU222,-67.1881606,18.08935678,17
BU223,-67.18777412,18.08077285,19
BU224,-67.18526249,18.07023206,23
BU225,-67.18801088,18.0622114,37
BU226,-67.18800486,18.05321526,38
BU227,-67.18796594,18.04417987,27
BU228,-67.18763407,18.0357241,0
BU229,-67.18435103,18.03014577,0
BU231,-67.18717503,18.00593625,0
BU232,-67.18777138,17.99900286,24
BU233,-67.18773248,17.98996745,36
BU234,-67.18769359,17.98093204,16
BU235,-67.1876547,17.97189662,7
BU236,-67.18859981,17.96378007,7
BU237,-67.19168011,17.9571283,1
BU237,-67.19185502,17.95027395,0
BU238,-67.18990899,17.94311721,0
BU239,-67.18740841,17.93721956,0
BV187,-67.17937915,18.4040778,6
BV188,-67.18002332,18.39659208,6
BV189,-67.17998473,18.38755701,10
BV190,-67.17994615,18.37852191,11
BV191,-67.17990757,18.36948681,27
BV192,-67.17986899,18.3604517,43
BV193,-67.17983042,18.35141657,82
BV194,-67.17979186,18.34238143,111
BV195,-67.17975329,18.33334628,176
BV196,-67.17971473,18.32431112,234
BV197,-67.17967618,18.31527595,234
BV198,-67.17963763,18.30624077,187
BV199,-67.17959908,18.29720558,88
BV200,-67.17956054,18.28817037,11
BV201,-67.179522,18.27913516,6
BV202,-67.17948346,18.27009994,4
BV203,-67.17877228,18.26160225,4
BV204,-67.17620797,18.25348738,2
BV205,-67.17479717,18.24671448,0
BV212,-67.17501885,18.17605111,5
BV213,-67.17819606,18.16967786,5
BV214,-67.17803988,18.16258837,0
BV215,-67.17594574,18.15279207,0
BV216,-67.1775617,18.14289462,0
BV217,-67.17890591,18.13457058,0
BV218,-67.17883696,18.12552138,0
BV219,-67.17882897,18.11649988,14
BV220,-67.1787905,18.10746452,16
BV221,-67.17875204,18.09842916,15
BV222,-67.17871359,18.08939379,28
BV223,-67.17867514,18.08035841,18
BV224,-67.17863669,18.07132303,18
BV225,-67.17859824,18.06228765,39
BV226,-67.1785598,18.05325226,56
BV227,-67.17852137,18.04421687,48
BV228,-67.1783936,18.03530293,29
BV229,-67.1765897,18.02917261,29
BV230,-67.17422041,18.01331224,5
BV231,-67.17832805,18.00528265,3
BV231,-67.18089275,18.0098698,0
BV231,-67.17607996,18.01072249,0
BV232,-67.17832925,17.99903985,22
BV233,-67.17829083,17.99000444,31
BV234,-67.17825242,17.98096902,15
BV235,-67.17821402,17.97193361,0
BV236,-67.17966217,17.96672437,0
BW178,-67.16676826,18.4842518,0
BW179,-67.16783071,18.47771753,0
BW180,-67.16768122,18.46915872,0
BW181,-67.16679619,18.46369431,0
BW186,-67.16815345,18.41135512,19
BW187,-67.17051949,18.40558024,11
BW188,-67.17055971,18.39662869,7
BW189,-67.17052161,18.38759361,6
BW190,-67.17048352,18.37855852,8
BW191,-67.17044542,18.36952342,20
BW192,-67.17040734,18.3604883,57
BW193,-67.17036926,18.35145317,85
BW194,-67.17033118,18.34241803,109
BW195,-67.1702931,18.33338288,185
BW196,-67.17025503,18.32434772,202
BW197,-67.17021697,18.31531254,202
BW198,-67.1701789,18.30627736,159
BW199,-67.17014084,18.29724217,52
BW200,-67.17010279,18.28820696,11
BW201,-67.17006474,18.27917175,11
BW202,-67.17002669,18.27013652,7
BW203,-67.16998865,18.26110129,6
BW204,-67.16995061,18.25206604,4
BW205,-67.16973186,18.2431157,3
BW206,-67.16940089,18.23401577,7
BW207,-67.16845765,18.22647221,21
BW211,-67.16650795,18.18585574,0
BW212,-67.16897675,18.17930296,7
BW213,-67.16960843,18.17074847,8
BW214,-67.16957043,18.16171315,9
BW215,-67.16953244,18.15267782,0
BW216,-67.16949444,18.14364248,46
BW217,-67.16945646,18.13460714,56
BW218,-67.16941847,18.12557179,56
BW219,-67.16938049,18.11653643,40
BW220,-67.16934252,18.10750107,24
BW221,-67.16930454,18.09846571,29
BW222,-67.16926657,18.08943033,17
BW223,-67.16922861,18.08039496,22
BW224,-67.16919065,18.07135958,24
BW225,-67.16915269,18.06232419,46
BW226,-67.16911474,18.0532888,46
BW227,-67.16907679,18.0442534,28
BW228,-67.16903885,18.03521801,16
BW229,-67.16879116,18.02631571,10
BW230,-67.16856197,18.01728395,5
BW231,-67.16835586,18.00702631,3
BW231,-67.17351182,18.0125363,5
BW232,-67.1688871,17.99907638,29
BW233,-67.16884918,17.99004096,31
BW234,-67.16881126,17.98100555,15
BW235,-67.16877334,17.97197013,0
BW236,-67.16758048,17.96617822,0
BX178,-67.16111445,18.48663018,0
BX179,-67.16143475,18.47797997,72
BX180,-67.1613971,18.46894501,76
BX181,-67.16071578,18.46038362,64
BX182,-67.15892892,18.45135058,83
BX183,-67.15738983,18.44394891,130
BX185,-67.15696829,18.42093615,0
BX186,-67.16043025,18.41386831,67
BX187,-67.1611337,18.4056999,42
BX188,-67.16109609,18.39666483,8
BX189,-67.16105848,18.38762975,8
BX190,-67.16102088,18.37859466,15
BX191,-67.16098328,18.36955955,29
BX192,-67.16094568,18.36052443,57
BX193,-67.16090808,18.3514893,81
BX194,-67.1608705,18.34245416,102
BX195,-67.16083291,18.33341901,102
BX196,-67.16079533,18.32438384,174
BX197,-67.16075775,18.31534867,174
BX198,-67.16072018,18.30631348,185
BX199,-67.1606826,18.29727829,128
BX200,-67.16064504,18.28824308,18
BX201,-67.16060748,18.27920786,8
BX202,-67.16056992,18.27017264,7
BX203,-67.16053236,18.2611374,7
BX204,-67.16049481,18.25210216,5
BX205,-67.16045726,18.2430669,6
BX206,-67.16041972,18.23403164,10
BX207,-67.16027288,18.2251142,40
BX208,-67.15736295,18.21705745,35
BX210,-67.15660247,18.1946066,11
BX211,-67.15969102,18.18824379,11
BX212,-67.16019454,18.17981989,13
BX213,-67.16015703,18.17078457,13
BX214,-67.16011952,18.16174924,13
BX215,-67.16008201,18.15271391,11
BX216,-67.1600445,18.14367857,23
BX217,-67.160007,18.13464323,34
BX218,-67.15996951,18.12560788,47
BX219,-67.15993201,18.11657252,47
BX220,-67.15989452,18.10753716,23
BX221,-67.15985704,18.09850179,16
BX222,-67.15981956,18.08946641,21
BX223,-67.15978208,18.08043104,32
BX224,-67.15974461,18.07139565,43
BX225,-67.15970714,18.06236026,54
BX226,-67.15966967,18.05332487,63
BX227,-67.15963221,18.04428947,32
BX228,-67.15959475,18.03525407,16
BX229,-67.1595573,18.02621867,10
BX230,-67.15951985,18.01718326,5
BX231,-67.1594824,18.00814785,3
BX232,-67.15944496,17.99911244,29
BX233,-67.15940752,17.99007702,38
BX234,-67.15937009,17.9810416,21
BX235,-67.15933265,17.97200618,0
BX236,-67.15864381,17.96357243,0
BX237,-67.15672045,17.95724895,16
