ID	EV1	EV2	EV3	EV4	EV5	EV6	EV7	EV8	EV9	EV10	EV11	EV12	EV13	EV14	EV15	EV16	EV17	EV18	EV19	EV20	EV21	EV22	EV23	EV24	EV25	EV26	EV27
1	-0.020947	-0.037782	-0.032405	0.014759	-0.009333	-0.036082	0.075894	-0.031804	-0.072911	-0.041855	0.039918	0.083043	0.027366	-0.089191	0.122117	-0.008772	-0.003672	-0.072562	0.138459	-0.05123	0.01089	-0.034774	0.05305	0.12052	0.083061	0.065843	-0.08144
2	-0.044425	-0.083965	-0.099207	0.021844	-0.076768	-0.045291	-0.133892	-0.075334	0.081319	-0.066509	0.006355	-0.035849	0.104172	0.061085	0.0352	-0.205367	0.056763	0.067181	0.078033	-0.035336	-0.082003	0.099699	0.130651	0.042546	0.026517	-0.061117	-0.23758
3	-0.003351	-0.009201	-0.004577	0.002631	-0.002121	-0.012927	0.02137	-0.000187	-0.022447	-0.022227	0.004103	0.023189	-0.007169	-0.052894	0.054185	-0.039838	-0.020542	-0.00774	0.074381	-0.033357	0.007768	0.01951	-0.000321	-0.070845	0.086353	-0.073093	0.222618
4	-0.017953	-0.032188	-0.022456	0.012764	-0.001341	-0.033478	0.092563	-0.018037	-0.08163	-0.039334	0.029827	0.079972	-0.007261	-0.135984	0.130316	-0.08432	-0.06341	-0.021422	0.184313	-0.056026	0.030623	0.046074	0.019638	-0.128081	0.140142	-0.111126	0.347045
5	-0.04591	-0.067174	-0.044218	0.027429	0.008809	-0.049913	0.189376	-0.035215	-0.132981	-0.0303	0.046976	0.101982	-0.018707	-0.153038	0.112395	-0.119188	-0.09224	0.020128	0.140176	-0.013921	0.031975	0.069509	0.002439	-0.160538	0.026105	-0.094624	0.240659
6	-0.058938	-0.070597	-0.030184	0.030421	0.034861	-0.038888	0.218944	-0.018606	-0.092848	0.003074	0.010524	0.01666	-0.043507	-0.050496	-0.024921	-0.204891	-0.059872	0.126389	-0.074992	0.065379	-0.024026	0.063504	-0.039806	-0.102751	-0.177564	-0.048733	0.10255
7	-0.050162	-0.078748	-0.061136	0.031555	-0.004361	-0.062972	0.188597	-0.055813	-0.154002	-0.052447	0.072252	0.147886	0.018309	-0.17914	0.186237	-0.053543	-0.064347	-0.068958	0.233666	-0.060504	0.041574	0.011994	0.056646	-0.002215	0.123591	-0.005268	0.08369
8	-0.12836	-0.160701	-0.102636	0.057577	0.020875	-0.064313	0.316419	-0.069184	-0.178608	0.018398	0.073057	0.103381	-0.013342	-0.070578	0.008807	0.02966	-0.065982	0.014155	-0.000721	0.039501	0.036144	0.02791	-0.01143	-0.060387	-0.05345	0.018984	-0.157253
9	-0.065965	-0.106292	-0.097474	0.039677	-0.030882	-0.074538	0.138917	-0.09184	-0.121871	-0.062199	0.087756	0.135612	0.089781	-0.065656	0.142618	0.058787	0.045689	-0.118979	0.104478	-0.036329	-0.004027	-0.078189	0.067614	0.226927	0.010681	0.120108	-0.225189
10	-0.104742	-0.16019	-0.152541	0.050099	-0.06448	-0.071062	0.061888	-0.116656	-0.06563	-0.027105	0.083285	0.082099	0.104486	0.061157	-0.0004	0.22872	0.073182	-0.108728	-0.097059	0.034424	0.021956	-0.108649	-0.049905	0.1002	-0.071993	0.10671	-0.102516
11	-0.063098	-0.114025	-0.128269	0.037377	-0.079235	-0.07586	-0.043709	-0.120319	0.006828	-0.089698	0.065374	0.045846	0.179743	0.103512	0.07201	0.003957	0.173106	-0.071082	-0.017778	-0.025002	-0.106101	-0.052467	0.104449	0.262758	-0.075991	0.01683	-0.114951
12	-0.075701	-0.130141	-0.144983	0.037535	-0.092947	-0.063879	-0.098391	-0.117246	0.044862	-0.060361	0.050083	0.007206	0.156723	0.144882	-0.013072	0.090339	0.144267	-0.05518	-0.114893	0.01858	-0.052472	-0.065523	-0.017487	0.066449	-0.083102	-0.025298	0.262168
13	-0.060474	-0.112213	-0.13346	0.031121	-0.098739	-0.061456	-0.156394	-0.10945	0.092374	-0.082049	0.025054	-0.032053	0.161884	0.131427	0.018066	-0.130536	0.130399	0.031571	-0.007488	-0.01829	-0.105395	0.049876	0.094145	0.050813	-0.031425	-0.105276	0.107774
14	-0.063814	-0.109813	-0.123918	0.027031	-0.088453	-0.041652	-0.148674	-0.084268	0.08611	-0.03897	0.012002	-0.04098	0.096013	0.104375	-0.039058	-0.023883	0.052347	0.026598	-0.053053	0.016743	-0.015293	0.021446	-0.030075	-0.116964	-0.005438	-0.078278	0.319888
15	-0.08963	-0.145167	-0.156682	0.026327	-0.118095	-0.024833	-0.248781	-0.068801	0.141212	-0.013336	-0.027834	-0.084093	0.020742	0.002726	-0.030324	-0.210857	-0.089478	0.112041	0.095462	0.003389	0.035496	0.105721	0.01728	-0.158588	0.068157	-0.015607	-0.067006
16	-0.033926	-0.060629	-0.067054	0.010563	-0.056155	-0.016739	-0.127602	-0.027537	0.077366	-0.024164	-0.024579	-0.050478	0.002263	-0.031958	0.015076	-0.224119	-0.072362	0.098503	0.122884	-0.020641	0.007508	0.10879	0.060506	-0.074022	0.072711	0.012403	-0.318196
17	-0.042969	-0.040651	0.00073	0.02077	0.046224	-0.020131	0.154517	0.004825	-0.014017	0.01017	-0.031033	-0.059312	-0.040381	0.026457	-0.08095	-0.245766	-0.001743	0.133811	-0.155372	0.070592	-0.055644	0.006476	-0.044107	0.016171	-0.173005	0.006236	0.103
18	-0.110859	-0.092016	-0.001622	0.040966	0.096587	-0.015762	0.283627	0.006028	-0.027006	0.059478	-0.035831	-0.088278	-0.056205	0.068366	-0.14113	-0.224889	-0.007779	0.155032	-0.158364	0.073228	-0.052372	0.033166	-0.004664	0.017852	-0.130079	-0.002104	-0.03228
19	-0.157818	-0.121626	-0.013261	0.023483	0.081128	0.052499	0.192082	0.040891	-0.03155	0.142403	-0.014632	-0.060836	-0.076779	0.092496	-0.154398	0.136569	-0.021965	0.058044	-0.040238	0.000743	-0.008222	0.082828	0.053616	-0.051557	0.073306	-0.061523	-0.18969
20	-0.121036	-0.145785	-0.101809	0.034032	-0.014909	-0.003714	0.090543	-0.029684	-0.056826	0.083642	0.030129	0.017531	-0.045257	0.037315	-0.122709	0.294482	-0.056621	-0.028107	-0.103651	0.047298	0.086704	-0.010717	-0.088079	-0.136719	0.036823	0.024061	-0.140536
21	-0.129498	-0.182752	-0.171252	0.035412	-0.097364	-0.012368	-0.136617	-0.067236	0.05777	0.052168	0.011238	-0.029287	-0.00197	0.056446	-0.116868	0.212732	-0.055238	-0.021647	-0.094694	0.054678	0.101843	-0.039996	-0.132626	-0.171779	0.022846	0.026621	0.200396
22	-0.15415	-0.137388	-0.058504	-0.002424	-0.001612	0.103156	-0.043136	0.073223	0.00406	0.181027	-0.028521	-0.034624	-0.146876	-0.005072	-0.123816	0.271873	-0.089118	-0.015565	-0.010371	-0.001227	0.053984	0.021467	-0.012047	-0.066	0.081119	-0.043906	0.01261
23	-0.112715	-0.13188	-0.099535	-0.001798	-0.068539	0.071016	-0.201675	0.050524	0.073347	0.121226	-0.063381	-0.045603	-0.175727	-0.153585	-0.040227	-0.006814	-0.190031	0.011793	0.061984	0.025763	0.108911	-0.04074	-0.059404	-0.002536	0.001342	0.083368	0.026732
24	-0.13337	-0.081889	0.00195	-0.049376	-0.003204	0.175342	-0.133499	0.152864	-0.016874	0.169007	-0.05567	0.035329	-0.174635	-0.149506	0.054265	0.039092	-0.007889	-0.080121	0.005974	-0.005772	-0.044195	-0.075304	0.056132	0.207434	-0.086366	-0.026206	0.104985
25	-0.067004	-0.062994	-0.030328	-0.021361	-0.032798	0.082848	-0.13983	0.08583	0.020895	0.089159	-0.061729	0.009308	-0.166851	-0.205399	0.05999	-0.102554	-0.103144	-0.038227	0.030923	0.022929	0.031279	-0.115722	-0.015865	0.204679	-0.118336	0.097791	-0.001358
26	-0.054489	-0.0781	-0.072256	0.002832	-0.060465	0.019518	-0.166707	0.013974	0.080031	0.033081	-0.052944	-0.050579	-0.100673	-0.137032	0.011141	-0.199397	-0.168162	0.072272	0.127257	0.004953	0.076554	0.0253	-0.009055	-0.017896	0.021145	0.104649	-0.217322
27	-0.069203	-0.037774	0.035322	0.028827	0.094455	-0.011194	0.16374	0.015084	0.070672	0.022425	-0.072573	-0.128944	-0.018481	0.084027	-0.098579	-0.248252	0.05411	0.060773	-0.133892	0.042697	-0.033628	-0.077553	-0.021724	0.117238	-0.014656	0.068733	0.084578
28	-0.071039	-0.008588	0.071622	0.040819	0.12471	-0.025614	0.090947	-0.000714	0.170647	-0.015352	-0.10134	-0.119742	0.030097	0.034033	-0.003604	-0.129382	0.07825	-0.137805	-0.032729	0.005387	0.064214	-0.165466	-0.048123	0.067913	0.163517	0.094774	0.060228
29	-0.041941	0.006341	0.058276	0.037015	0.091415	-0.039166	0.027687	-0.01494	0.157689	-0.048866	-0.086819	-0.054057	0.036182	-0.045977	0.066581	-0.040907	0.055962	-0.218008	-0.011213	0.008606	0.105574	-0.14871	-0.095612	-0.06672	0.159535	0.055395	0.010735
30	-0.160502	-0.043744	0.102035	0.036499	0.185095	0.035811	0.176966	0.034429	0.147175	0.077703	-0.080667	-0.170006	0.021444	0.145627	-0.090471	-0.08516	0.0659	0.003533	0.030783	-0.031592	-0.017393	-0.028846	0.074576	0.116723	0.099608	0.020634	-0.005699
31	-0.123973	0.046266	0.154746	0.094528	0.223867	-0.07593	0.023986	-0.054771	0.286076	-0.064215	-0.113372	-0.05304	0.078067	-0.059067	0.083891	0.031833	0.022693	-0.20183	0.0415	0.012719	0.10127	-0.08138	-0.031307	-0.039514	0.033242	0.017132	-0.00349
32	-0.156987	0.05063	0.154785	0.000779	0.153989	0.056204	0.004902	-0.018198	0.107894	0.027248	0.055895	-0.092374	0.131138	0.11508	0.031336	0.080823	-0.045822	0.054809	0.251895	-0.081391	0.015464	0.020419	0.051647	0.069772	-0.044413	0.034277	0.053124
33	-0.204889	-0.05382	0.097593	-0.053358	0.103937	0.20529	0.003765	0.13555	-0.005465	0.172114	0.003565	-0.033748	0.000471	0.124214	-0.009972	0.138309	0.086416	0.018513	0.151477	-0.105379	-0.11191	0.134049	0.167014	0.036008	0.082859	-0.109978	0.007727
34	-0.136764	0.054037	0.124708	-0.076924	0.053483	0.140528	-0.041457	0.024499	-0.047418	0.015556	0.107208	0.004873	0.15444	0.139144	0.039354	0.04517	0.010696	0.089644	0.181691	-0.072413	-0.036657	0.130889	0.016919	-0.098074	0.010552	0.026179	0.000995
35	-0.110732	0.016003	0.086878	-0.084742	0.022397	0.164264	-0.045429	0.083671	-0.077837	0.027252	0.044165	0.071705	0.097577	0.08991	0.064068	0.000482	0.126036	0.015862	0.048351	-0.046137	-0.089412	0.137715	0.057712	-0.12932	0.053968	-0.053437	-0.014107
36	-0.1321	-0.006838	0.078863	-0.104464	0.005912	0.219129	-0.093729	0.147044	-0.101712	0.066169	0.000093	0.132297	0.011947	-0.032725	0.122472	-0.059556	0.182489	-0.080189	-0.09869	0.017328	-0.108395	-0.006206	0.049108	0.01993	-0.053861	-0.067135	0.039551
37	-0.071458	0.018937	0.054134	-0.087785	-0.023955	0.135602	-0.064199	0.077581	-0.095012	-0.029954	-0.003929	0.142547	0.047011	-0.04858	0.092082	-0.129039	0.141253	-0.069339	-0.20909	0.094185	0.004951	-0.092518	-0.066177	-0.073969	-0.042231	0.011419	-0.036892
38	-0.07253	-0.028011	0.021394	-0.054565	-0.013333	0.130946	-0.10019	0.11723	-0.051304	0.064744	-0.037458	0.093625	-0.089582	-0.153042	0.122102	-0.098017	0.083544	-0.103681	-0.115231	0.047539	-0.0585	-0.142866	0.001495	0.19286	-0.160944	0.00499	0.072776
39	-0.038251	0.013258	0.05871	0.043184	0.08975	-0.049823	0.004849	-0.023034	0.155013	-0.061982	-0.085938	-0.009911	0.029372	-0.090213	0.086258	0.010147	0.038596	-0.221925	-0.029941	0.021676	0.082075	-0.054991	-0.087728	-0.148874	0.07387	-0.014058	-0.050136
40	-0.046763	0.035317	0.074179	0.076731	0.115221	-0.084152	-0.030301	-0.04199	0.15767	-0.078796	-0.097258	0.074517	0.000541	-0.142814	0.073579	0.068863	0.014817	-0.151781	-0.096417	0.048295	-0.011405	0.122082	-0.024785	-0.165699	-0.074892	-0.087639	-0.098447
41	-0.025112	0.036216	0.043139	0.074338	0.072816	-0.07905	-0.051833	-0.029319	0.062545	-0.062794	-0.073284	0.133471	-0.044929	-0.117412	0.009929	0.069417	0.002342	-0.017781	-0.12812	0.036328	-0.128256	0.242463	0.019403	-0.094121	-0.11169	-0.068251	-0.079757
42	-0.072833	0.110161	0.106293	0.157954	0.163793	-0.148679	-0.107096	-0.082288	0.10803	-0.067398	-0.066	0.183987	-0.04402	-0.138856	0.006918	0.117676	-0.033241	0.0501	-0.109155	0.059673	-0.066991	0.152119	0.071315	-0.020439	-0.142783	-0.069607	-0.035444
43	-0.102638	0.101085	0.131196	0.062826	0.136946	-0.061125	-0.064118	-0.095074	0.101798	-0.033001	0.064963	0.008353	0.072683	-0.031368	0.046539	0.100253	-0.123177	0.101076	0.102155	0.018517	0.066474	-0.05919	0.017606	0.077003	-0.188999	0.001841	0.049383
44	-0.071736	0.166604	0.079036	0.109444	0.081568	-0.114163	-0.120063	-0.11527	-0.043295	0.041345	0.138133	0.060368	-0.033331	-0.037635	-0.008367	0.056093	-0.086309	0.226709	-0.036112	0.058955	0.065183	-0.160283	0.086423	0.095659	-0.066587	-0.078749	0.028716
45	-0.14639	0.183975	0.147006	-0.059736	0.029129	0.032543	-0.077545	-0.136507	-0.062098	-0.017653	0.236384	-0.069417	0.127598	0.049026	-0.005807	0.033149	-0.193001	0.128315	0.102862	0.012453	0.045909	-0.047568	-0.123298	0.039007	-0.130277	0.107693	0.025794
46	-0.05421	0.165373	0.033263	0.022897	-0.012684	-0.071709	-0.063983	-0.125367	-0.085078	0.102973	0.224189	-0.114522	-0.047905	-0.026247	0.020524	-0.018583	-0.06265	0.084995	-0.056297	0.038791	0.023083	-0.203997	-0.019113	0.033262	0.025922	-0.082172	-0.015718
